Task 4: Model=lmpo2_typei, Dataset=seoulBike
[2026-05-04 19:35:54,681][HYDRA] 	#37 : model.reduction_factor=0.5 model.L=4 model.bond_dim=8 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:54,848][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.5 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed32874_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6724756049068243) val=0.6725
[2026-05-04 19:35:54,851][HYDRA] 	#38 : model.reduction_factor=0.5 model.L=4 model.bond_dim=8 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:55,017][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.5 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed47311_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6741242298242968) val=0.6741
[2026-05-04 19:35:55,019][HYDRA] 	#39 : model.reduction_factor=0.5 model.L=4 model.bond_dim=8 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:55,188][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.5 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed47303_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6432978427736655) val=0.6433
[2026-05-04 19:35:55,190][HYDRA] 	#40 : model.reduction_factor=0.5 model.L=4 model.bond_dim=4 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:55,386][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.5 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed42_rf0.5_bondmpo1 | already completed successfully (val_quality=0.549618070380812) val=0.5496
[2026-05-04 19:35:55,388][HYDRA] 	#41 : model.reduction_factor=0.5 model.L=4 model.bond_dim=4 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:55,558][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.5 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed10090_rf0.5_bondmpo1 | already completed successfully (val_quality=0.5821352854027078) val=0.5821
[2026-05-04 19:35:55,560][HYDRA] 	#42 : model.reduction_factor=0.5 model.L=4 model.bond_dim=4 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:55,738][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.5 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed32874_rf0.5_bondmpo1 | already completed successfully (val_quality=0.58909427160452) val=0.5891
